"id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se"
"146294",2015-02-28 03:00:00,-35.0339000000002,-6.25300000000272,-3899.95590850249,-692.815980441646,9.99999997935945e-06,9.99999998088432e-06,2.00031698647788e-09,1.35559163021478e-10,9.99999998752439e-06,9.99999998382163e-06,0,NA
"146294",2015-02-28 05:00:00,-35.0201138545315,-6.25112066340486,-3898.42124180891,-692.606914220953,0.0931475817416894,0.103659842719246,0.98661401400833,0.176684796825073,0.0792022639088344,0.0818604072683462,0.0389039383930613,NA
"146294",2015-02-28 07:00:00,-35.0013282081513,-6.24148513636752,-3896.33003321964,-691.535024934435,0.0925129723493318,0.104158307103995,1.02144106908966,0.632776859797893,0.087559657910768,0.0967847716820222,0.203111481168909,NA
"146294",2015-02-28 09:00:00,-34.9845840072195,-6.23492204766567,-3894.46607729818,-690.804935732083,0.112385568029111,0.123961103089293,0.838112710501963,0.24821543998349,0.091293242493572,0.0934983441891818,0.138517624877693,NA
"146294",2015-02-28 11:00:00,-34.9791088642667,-6.23716511224959,-3893.85658717265,-691.054457027599,0.116156809605688,0.126413884979444,0.161859363287259,-0.125019340091181,0.0970205000907527,0.0997274283680892,0.248568454772928,NA
"146294",2015-02-28 13:00:00,-34.9796285738445,-6.23865699764871,-3893.91444097821,-691.220416814828,0.0988638628904202,0.110128097657651,-0.0382915508418097,-0.0597371209917495,0.0964081091514482,0.101836574293068,0.0470088089508972,NA
"146294",2015-02-28 15:00:00,-34.9796488578453,-6.23899865176554,-3893.91669898285,-691.258423048453,0.0955189186831782,0.106297322730294,0.000744934489244128,-0.0169886612660144,0.0615309806055007,0.0665863653303639,0.0550638088421902,NA
"146294",2015-02-28 17:00:00,-34.9805557847784,-6.23877970683253,-3894.01765762723,-691.234067207702,0.0994250577234752,0.109223883548109,-0.0681712739661675,0.0127709853118664,0.0919890597707819,0.0956897157404544,0.0192461072402555,NA
"146294",2015-02-28 19:00:00,-34.9822977512723,-6.23859127052301,-3894.21157245032,-691.21310521111,0.0897242342550704,0.10006195361777,-0.104060305671309,0.0106522213626093,0.0783475279676133,0.0836496207698331,0.0177886760237889,NA
"146294",2015-02-28 21:00:00,-34.9831256729754,-6.23890904894307,-3894.30373627271,-691.248455462915,0.134574282239913,0.145078236207782,-0.0350312533703696,-0.0299841748070088,0.112723577160873,0.114879958980507,0.0179863700820676,NA
"146294",2015-02-28 23:00:00,-34.9834005315819,-6.23969322460557,-3894.33433339283,-691.335688688673,0.0967008465357207,0.107397904439057,-0.0139082706308233,-0.0379325503499763,0.0872561582189087,0.0900580077313233,0.00662388600314472,NA
"146294",2015-03-01 01:00:00,-34.9834428496021,-6.23992358469308,-3894.33904421329,-691.361314417943,0.0897481853267961,0.0996153512809581,0.00157838075226657,-0.0076845856533841,0.0903605919976714,0.0946613294110455,0.00154489499776976,NA
"146294",2015-03-01 03:00:00,-34.9833958854579,-6.23994485619385,-3894.33381618867,-691.363680703954,0.117047680810099,0.125750169283074,0.00339026099011382,-0.002159299739219,0.0874194278259389,0.0908068327948059,0.00276777829785963,NA
"146294",2015-03-01 05:00:00,-34.9831924374096,-6.23988428040503,-3894.31116845553,-691.356942127407,0.103798057222535,0.11602448208585,0.0150396439194148,0.00647854021734977,0.101083489706106,0.106069562459504,0.000276407110553666,NA
"146294",2015-03-01 07:00:00,-34.9823451182405,-6.23970933067895,-3894.21684531709,-691.337480360982,0.0993501996405073,0.109475616769971,0.0471564029911924,0.00973097829698954,0.0587825347133252,0.0637090713492871,0.0322810248712227,NA
"146294",2015-03-01 09:00:00,-34.9824766023015,-6.23948159353489,-3894.23148205581,-691.312146423761,0.0862053672669779,0.0957304507824118,-0.0180095745179748,0.01232305002813,0.0886952457312087,0.0931891496442347,0.0015213067996778,NA
"146294",2015-03-01 11:00:00,-34.9827107875731,-6.23914282341633,-3894.257551441,-691.274460976128,0.13103831755741,0.142662692918157,-0.0143797783161526,0.0194231417756619,0.117453464262748,0.120050285953987,0.00412795697565917,NA
"146294",2015-03-01 13:00:00,-34.9829211042333,-6.2395906683688,-3894.28096378451,-691.324280125925,0.105692661345736,0.118147308033274,-0.0117025131810661,-0.0249170615245854,0.0666772521091271,0.0718810203396984,0.0444209565105346,NA
"146294",2015-03-01 15:00:00,-34.9818310382284,-6.24316261686828,-3894.15961819192,-691.721632218524,0.100350789191746,0.110284593810457,0.107137518150274,-0.264568391077829,0.0903076822582267,0.094271119632007,0.0574606501910854,NA
"146294",2015-03-01 17:00:00,-34.9776563021587,-6.24863846229435,-3893.69488869844,-692.330783689761,0.0967003892319292,0.108152744625753,0.209651283240429,-0.207397567339767,0.0859061021668462,0.0909109672523111,0.193050892940769,NA
"146294",2015-03-01 19:00:00,-34.9766074492041,-6.24928180396671,-3893.57813092162,-692.402351606097,0.10307487744848,0.115087772921765,0.027292581387518,-0.00437523215028449,0.0729161019650848,0.0789459623416153,0.212199916750714,NA
"146294",2015-03-01 21:00:00,-34.9765677433644,-6.24906721350909,-3893.57371088777,-692.378479690206,0.103358897437076,0.115750387252814,-0.00118966780091235,0.0137123578588558,0.0732152125744268,0.079415280850221,0.0209924783991007,NA
"146294",2015-03-01 23:00:00,-34.9765728949986,-6.24889251262597,-3893.57428436506,-692.359045260256,0.10307575682627,0.11544233878512,-4.94315169918811e-05,0.00903471016342259,0.0721728718704392,0.0784086399058372,0.00455666361147581,NA
