DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146296,146296,0.500000,Transmission,Mk10,,01:09:00 05-Mar-2015,06:50:40 05-Mar-2015,Message,10,,,,20490.000000,20510.000000,,
146296,146296,0.500000,Transmission,Mk10,,01:09:00 05-Mar-2015,04:51:00 05-Mar-2015,Surface,,,,,13319,13321,13320,0
146296,146296,0.500000,Transmission,Mk10,,04:51:00 05-Mar-2015,05:28:50 05-Mar-2015,Dive,1,Square,15.0,15.0,2269,2271,,
146296,146296,0.500000,Transmission,Mk10,,05:28:50 05-Mar-2015,05:29:00 05-Mar-2015,Surface,,,,,9,11,10,0
146296,146296,0.500000,Transmission,Mk10,,05:29:00 05-Mar-2015,05:36:50 05-Mar-2015,Dive,1,U,16.5,16.5,469,471,,
146296,146296,0.500000,Transmission,Mk10,,05:36:50 05-Mar-2015,05:37:00 05-Mar-2015,Surface,,,,,9,11,10,0
146296,146296,0.500000,Transmission,Mk10,,05:37:00 05-Mar-2015,05:42:20 05-Mar-2015,Dive,1,U,17.0,17.0,319,321,,
146296,146296,0.500000,Transmission,Mk10,,05:42:20 05-Mar-2015,05:42:40 05-Mar-2015,Surface,,,,,19,21,20,0
146296,146296,0.500000,Transmission,Mk10,,05:42:40 05-Mar-2015,06:01:10 05-Mar-2015,Dive,1,Square,18.5,18.5,1109,1111,,
146296,146296,0.500000,Transmission,Mk10,,06:01:10 05-Mar-2015,06:01:20 05-Mar-2015,Surface,,,,,9,11,10,0
146296,146296,0.500000,Transmission,Mk10,,06:01:20 05-Mar-2015,06:50:40 05-Mar-2015,Dive,1,Square,20.0,20.0,2959,2961,,
146296,146296,0.500000,Transmission,Mk10,,06:51:00 05-Mar-2015,10:04:40 05-Mar-2015,Message,9,,,,11611.000000,11629.000000,,
146296,146296,0.500000,Transmission,Mk10,,06:51:00 05-Mar-2015,06:52:00 05-Mar-2015,Surface,,,,,59,61,31,29
