DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,,21:43:00 09-Mar-2015,21:45:50 09-Mar-2015,Surface,,,,,169,171,121,49
146295,146295,0.500000,Transmission,Mk10,,21:45:50 09-Mar-2015,23:19:10 09-Mar-2015,Dive,1,Square,38.5,39.0,5599,5601,,
146295,146295,0.500000,Transmission,Mk10,,23:19:10 09-Mar-2015,23:22:00 09-Mar-2015,Surface,,,,,169,171,154,16
146295,146295,0.500000,Transmission,Mk10,,23:22:00 09-Mar-2015,00:58:40 10-Mar-2015,Dive,1,Square,36.5,37.0,5799,5801,,
146295,146295,0.500000,Transmission,Mk10,,00:58:40 10-Mar-2015,01:01:50 10-Mar-2015,Surface,,,,,189,191,123,67
146295,146295,0.500000,Transmission,Mk10,,01:01:50 10-Mar-2015,02:37:10 10-Mar-2015,Dive,1,Square,36.5,37.0,5719,5721,,
146295,146295,0.500000,Transmission,Mk10,,02:38:00 10-Mar-2015,08:55:30 10-Mar-2015,Message,9,,,,22641.000000,22659.000000,,
146295,146295,0.500000,Transmission,Mk10,,02:38:00 10-Mar-2015,02:41:00 10-Mar-2015,Surface,,,,,179,181,145,35
146295,146295,0.500000,Transmission,Mk10,,02:41:00 10-Mar-2015,04:18:40 10-Mar-2015,Dive,1,Square,35.5,36.0,5859,5861,,
146295,146295,0.500000,Transmission,Mk10,,04:18:40 10-Mar-2015,04:21:40 10-Mar-2015,Surface,,,,,179,181,151,29
146295,146295,0.500000,Transmission,Mk10,,04:21:40 10-Mar-2015,05:58:00 10-Mar-2015,Dive,1,Square,36.5,37.0,5779,5781,,
146295,146295,0.500000,Transmission,Mk10,,05:58:00 10-Mar-2015,06:00:50 10-Mar-2015,Surface,,,,,169,171,165,5
146295,146295,0.500000,Transmission,Mk10,,06:00:50 10-Mar-2015,07:37:50 10-Mar-2015,Dive,1,Square,36.5,37.0,5819,5821,,
146295,146295,0.500000,Transmission,Mk10,,07:37:50 10-Mar-2015,07:42:00 10-Mar-2015,Surface,,,,,249,251,161,89
